PRIORITY_AREA,PART_ID,PART_DESCRIPTION,SECTION_ID,SECTION_DESCRIPTION,ENTITY,YEAR,FINANCIAL_YEAR,AMOUNT,SOURCE_TYPE,REFERENCE,NOTE
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2025,2025,344982.24999999994,Voluntary,Financial Statement,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,DGACM,2025,2025,679997.4799999999,Voluntary,Financial Statement,Trust Fund in Support of General Assembly and Conference Management Activities
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2025,2025,8340202.58,Voluntary,Financial Statement,Trust Fund for Climate Change Support
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2025,2025,28401040.89,Voluntary,Financial Statement,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2025,2025,744283.93,Voluntary,Financial Statement,Trust Fund for Legal Affairs and related issues
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,58686.149999999994,Voluntary,Financial Statement,Trust Fund for the Annual Ministerial Review (AMR) and the Development Cooperation Forum (DCF)
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2025,2025,1040134.2000000001,Voluntary,Financial Statement,Trust Fund to Support Management and Reform Activities
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNITAMS,2025,2025,0.13999999999998636,Voluntary,Financial Statement,Trust Fund for the United Nations Integrated Transition Assistance Mission in Sudan
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,187169.09999999998,Voluntary,Financial Statement,United Nations Regional Centre for Peace and Disarmament in Africa
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAMA,2025,2025,1424705.68,Voluntary,Financial Statement,Trust Fund for the Promotion of Social and Economic Development in Afghanistan
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,1648789.0200000003,Voluntary,Financial Statement,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America"
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,19,Economic and social development in Asia and the Pacific,ESCAP,2025,2025,22308856.460000016,Voluntary,Financial Statement,ESCAP - Technical Cooperation Project Trust Funds - Local
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,13693709.710000006,Voluntary,Financial Statement,Trust Fund for Global and Regional Disarmament Activities
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,19,Economic and social development in Asia and the Pacific,ESCAP,2025,2025,2758242.3,Voluntary,Financial Statement,General Trust Fund for ESCAP Regional Activities
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,1553863.6800000004,Voluntary,Financial Statement,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,21,Economic and social development in Latin America and the Caribbean,ECLAC,2025,2025,11865445.859999994,Voluntary,Financial Statement,ECLAC Santiago - Technical Cooperation Project Trust Funds
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2025,2025,9798134.870000001,Voluntary,Financial Statement,Trust Fund for Economic and Social Information
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSCA,2025,2025,485688.9000000001,Voluntary,Financial Statement,Trust Fund in Support of Peace and Security in the Central African Republic
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2025,2025,1348126.2600000002,Voluntary,Financial Statement,Trust Fund in Support of the System-Wide Evaluation
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,OPGA,2025,2025,2856847.8099999987,Voluntary,Financial Statement,Trust Fund in Support of the Office of the President of the General Assembly
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2025,2025,784014.0299999999,Voluntary,Financial Statement,United Nations Trust Fund for Government Contributions to UNICS
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,OCHA,2025,2025,326998048.08,Voluntary,Financial Statement,Central Emergency Response Fund
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNGCO,2025,2025,10336084.720000003,Voluntary,Financial Statement,Global Compact Trust Fund
Development of Africa,V,Regional cooperation for development,18,Economic and social development in Africa,ECA,2025,2025,223512.37000000002,Voluntary,Financial Statement,Trust Fund for ECA Construction
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,DGACM,2025,2025,2107465.0399999996,Voluntary,Financial Statement,Trust Fund for German Language Translation
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2025,2025,10917435.119999997,Voluntary,Financial Statement,United Nations Voluntary Fund for Victims of Torture
Promotion of international justice and law,III,International justice and law,7,International Court of Justice,ICJ,2025,2025,191306.26999999996,Voluntary,Financial Statement,Trust Fund for the Judicial Fellowship of the International Court of Justice
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2025,2025,425562.2899999998,Voluntary,Financial Statement,Trust Fund for a Human Rights Education Programme in Cambodia
Promotion of international justice and law,III,International justice and law,8,Legal affairs,IM-MYANMAR,2025,2025,3777544.13,Voluntary,Financial Statement,Trust Fund for the Independent Investigative Mechanism for Myanmar
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAMI,2025,2025,16.02,Voluntary,Financial Statement,Trust Fund in support of the construction and renovation of the United Nations compound in Baghdad
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2025,2025,606120.52,Voluntary,Financial Statement,Trust Fund to Assist Members of the Commission on the Limits of the Continental Shelf from Developing States to Participate in its Meetings
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2025,2025,11989418.230000004,Voluntary,Financial Statement,Trust Fund for Special Projects of the Secretary-General
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,OTHER,2025,2025,139.39999999999418,Voluntary,Financial Statement,Trust Funds converted from IMIS to be closed
Effective functioning of the organization,VIII,Common support services,29B,Department of Operational Support,DOS,2025,2025,17955454.130000003,Voluntary,Financial Statement,Trust Fund in Support of the Department of Operational Support
Maintenance of international peace and security,II,Political affairs,3,Political affairs,CNMC,2025,2025,410091.4300000001,Voluntary,Financial Statement,Trust Fund in Support of the Cameroon-Nigeria Border Demarcation and Other Activities Related to Preventive Diplomacy and Peacemaking
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,10,"Least developed countries, landlocked developing countries and small island developing States",OHRLLS,2025,2025,3057624.17,Voluntary,Financial Statement,"Trust Fund in Support of Activities Undertaken by the Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (OHRLLS)"
Effective functioning of the organization,VIII,Common support services,29E,"Administration, Geneva",UNOG,2025,2025,3533352.82,Voluntary,Financial Statement,Trust Fund for UNOG Local Support Services
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2025,2025,1033535.7400000001,Voluntary,Financial Statement,Trust Fund in Support Peacekeeping Activities
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,IIMP-SYRIA,2025,2025,942547.5599999999,Voluntary,Financial Statement,Trust Fund for the Independent Institution on Missing Persons in the Syrian Arab Republic (IIMP)
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,110478.54,Voluntary,Financial Statement,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System
Maintenance of international peace and security,II,Political affairs,3,Political affairs,DPPA,2025,2025,39498131.95000001,Voluntary,Financial Statement,Trust Fund in Support of the Multinational Security Support (MSS) Mission in Haiti
Maintenance of international peace and security,II,Political affairs,3,Political affairs,CTED,2025,2025,484199.8,Voluntary,Financial Statement,Trust Fund for the Counter-Terrorism Committee Executive Directorate
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-CAAC,2025,2025,2833391.299999999,Voluntary,Financial Statement,Trust Fund for Children and Armed Conflict
"Drug control, crime prevention and combating terrorism",II,Political affairs,3,Political affairs,OCT,2025,2025,40745401.220000006,Voluntary,Financial Statement,Trust Fund for Counter-Terrorism
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNOAU,2025,2025,872168.92,Voluntary,Financial Statement,"Trust Fund to support the UNOAU pursuant to Security Councils 2230 (2016), 2378 (2017) and 2457 (2019)"
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNFICYP,2025,2025,-829.2499999999999,Voluntary,Financial Statement,Trust Fund to Support Peace and Security in Cyprus
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ODET,2025,2025,809697.2400000001,Voluntary,Financial Statement,Trust Fund in Support of the Office of the Secretary-General's Envoy on Technology
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2025,2025,3140768.1599999997,Voluntary,Financial Statement,Trust Fund for the Office of Legal Affairs to Support the Promotion of International Law
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOP,2025,2025,1193420.4299999995,Voluntary,Financial Statement,Trust Fund for Partnerships
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,OCHA,2025,2025,1252139092.76,Voluntary,Financial Statement,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator
Promotion of international justice and law,III,International justice and law,8,Legal affairs,MICT,2025,2025,800578.9999999998,Voluntary,Financial Statement,Trust Fund to Support the Activities of the International Residual Mechanism for Criminal Tribunals
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,358858.0999999999,Voluntary,Financial Statement,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia
Maintenance of international peace and security,II,Political affairs,6,Peaceful uses of outer space,OOSA,2025,2025,1730603.83,Voluntary,Financial Statement,Trust Fund in Support of United Nations Programme on Peaceful Uses of Outer Space
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,OSCS,2025,2025,1623744.38,Voluntary,Financial Statement,Trust Fund in support of the activities of the Office of the UN Special Coordinator for the Development in the Sahel
Promotion of international justice and law,III,International justice and law,8,Legal affairs,IIIM,2025,2025,4437912.029999999,Voluntary,Financial Statement,Trust Fund in Support of the International Impartial and Independent Mechanism
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,279.53999999999996,Voluntary,Financial Statement,Trust Fund for the establishment of a Joint Investigative Mechanism (JIM) pursuant to UNSCR 2235 (2015)
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OVRA,2025,2025,69548.61999999976,Voluntary,Financial Statement,Trust Fund in Support of Victims of Sexual Exploitation and Abuse
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,UNDRR,2025,2025,128544.65,Voluntary,Financial Statement,Sasakawa - UNDRO Disaster Prevention Award Endowment Fund
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-SVC,2025,2025,5940346.69,Voluntary,Financial Statement,Trust Fund in Support of the Office of the Special Representative of the Secretary-General on Sexual Violence in Conflict
Disarmament,II,Political affairs,4,Disarmament,UNIDIR,2025,2025,13507527.949999997,Voluntary,Financial Statement,United Nations Institute for Disarmament Research
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-VAC,2025,2025,1044950.8799999999,Voluntary,Financial Statement,Trust Fund in Support of the Special Representative of the Secretary-General on Violence against Children
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",RCS,2025,2025,239972884.7600007,Voluntary,Financial Statement,Special Purpose Trust Fund for Reinvigorated RC System
Promotion of international justice and law,III,International justice and law,7,International Court of Justice,ICJ,2025,2025,-349377.05000000005,Voluntary,Financial Statement,Trust Fund to Assist States in the Judicial Settlement of Disputes through the International Court of Justice
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ODET,2025,2025,21.0,Voluntary,Financial Statement,Trust Fund for Digital Agenda
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2025,2025,413019.4799999999,Voluntary,Financial Statement,"Trust Fund for the United Nations Programme of Assistance in the Teaching, Study, Dissemination and Wider Appreciation of International Law"
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,-1033.58,Voluntary,Financial Statement,Trust Fund for the United Nations Disarmament Info Programme
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2025,2025,1335168.4,Voluntary,Financial Statement,United Nations Commission on International Trade Law Symposia
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,UNDRR,2025,2025,55827033.46999997,Voluntary,Financial Statement,Trust Fund for Disaster Reduction
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOP,2025,2025,5497966.999999999,Voluntary,Financial Statement,UN Democracy Trust Fund
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,20,Economic development in Europe,ECE,2025,2025,20254784.62999999,Voluntary,Financial Statement,ECE Local Technical Co-operation Trust Funds
Effective functioning of the organization,XII,Safety and security,34,Safety and security,DSS,2025,2025,3696056.7800000003,Voluntary,Financial Statement,Trust Fund for Security of Staff Members of the United Nations System
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2025,2025,-12734.88,Voluntary,Financial Statement,Development Forum Trust Fund
Effective functioning of the organization,VIII,Common support services,29D,"Administration, Nairobi",UNON,2025,2025,48679.85,Voluntary,Financial Statement,Trust Fund for  UNON Extrabudgetary
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SESG-YEMEN,2025,2025,1396873.8900000004,Voluntary,Financial Statement,Trust Fund in Support of Office of the Special Envoy of the Secretary General to Yemen (OSESGY)
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAOC,2025,2025,4071870.3700000006,Voluntary,Financial Statement,Trust Fund for Alliance of Civilizations
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,146452.19,Voluntary,Financial Statement,Trust Fund on Indigenous Issues
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,20355.160000000003,Voluntary,Financial Statement,United Nations Trust Fund on Family Activities
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNRoD,2025,2025,105257.09999999999,Voluntary,Financial Statement,Trust Fund in Support of the United Nations Register of Damage
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,735308.1199999999,Voluntary,Financial Statement,Trust Fund for Statistical Development and Capacity Building
Maintenance of international peace and security,II,Political affairs,3,Political affairs,HSU,2025,2025,5066477.380000001,Voluntary,Financial Statement,Trust Fund for Human Security
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2025,2025,-362083.28999999986,Voluntary,Financial Statement,Trust Fund to Support Global Impact and Vulnerability Alert System
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,31143448.529999997,Voluntary,Financial Statement,Trust Fund for United Nations Peace and Development
Disarmament,II,Political affairs,4,Disarmament,ODA,2025,2025,77497.86,Voluntary,Financial Statement,Trust fund for Public Awareness on Disarm Affair
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OSESG-GL,2025,2025,988133.66,Voluntary,Financial Statement,Trust Fund in support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOP,2025,2025,24929082.650000002,Voluntary,Financial Statement,United Nations Fund for International Partnership (UNFIP)
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OJSRS,2025,2025,598016.75,Voluntary,Financial Statement,Trust Fund to support the Syrian Constitutional Committee
Effective functioning of the organization,X,Jointly financed administrative activities and special expenses,31,Jointly financed administrative activities,CEB,2025,2025,177.43,Voluntary,Financial Statement,Trust Fund for the Implementation of HLCM Plan of Action for the Harmonization of Business Practices in the United Nations System
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSC-SEA,2025,2025,1090671.6400000001,Voluntary,Financial Statement,Trust Fund in Support of the Office of the Special Coordinator on Improving United Nations Response to Sexual Exploitation and Abuse
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2025,2025,214682907.36000022,Voluntary,Financial Statement,Trust Fund for the Support to the Activities of the Centre for Human Rights
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,6599843.610000003,Voluntary,Financial Statement,Host Country Agreements - UNHQ (Volume 1)
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,OSAA,2025,2025,234716.41,Voluntary,Financial Statement,Trust Fund for the Support of Activities of OSAA to the New Partnership for Africa's Development (NEPAD) and Tokyo International Conference on African Development (TICAD) Process
Development of Africa,V,Regional cooperation for development,18,Economic and social development in Africa,ECA,2025,2025,12157874.500000007,Voluntary,Financial Statement,ECA as Executing Agency for Miscellaneous Technical Co-operation Funds
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,8527338.56,Voluntary,Financial Statement,Trust Fund to Support Activities for the Follow-up to the International Conference on Financing for Development
Maintenance of international peace and security,II,Political affairs,3,Political affairs,BINUH,2025,2025,81.21000000000001,Voluntary,Financial Statement,Trust Fund in Support of the Political Transition in Haiti
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2025,2025,98038.83,Voluntary,Financial Statement,Trust Fund to Assist Developing States in the Preparation of Submissions to the Commission on the Limits of the Continental Shelf
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OTHER,2025,2025,144227.16,Voluntary,Financial Statement,Trust Fund for Will and Gift to the UN
Effective functioning of the organization,IX,Internal oversight,30,Internal oversight,OIOS,2025,2025,-1417.71,Voluntary,Financial Statement,United Nations Trust Fund for Enhancing Professional Capacity in Internal Oversight Functions
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,78179.41,Voluntary,Financial Statement,United Nations Voluntary Fund on Disability
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SWEO,2025,2025,24604.100000000002,Voluntary,Financial Statement,General Trust Fund for Independent System-wide Evaluations
Development of Africa,V,Regional cooperation for development,18,Economic and social development in Africa,ECA,2025,2025,2386309.53,Voluntary,Financial Statement,African Institute for Economic Development and Planning
Effective functioning of the organization,VIII,Common support services,29E,"Administration, Geneva",UNOG,2025,2025,17849.969999999998,Voluntary,Financial Statement,Library Endowment Fund
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,32687.51,Voluntary,Financial Statement,United Nations Youth Fund
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2025,2025,552122.04,Voluntary,Financial Statement,United Nations Voluntary Fund for Indigenous Populations
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNITAD,2025,2025,45544.240000000005,Voluntary,Financial Statement,Trust Fund in Support of the Implementation of the UNSCR 2379 (2017)
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNAMID,2025,2025,-6197.119999999999,Voluntary,Financial Statement,Trust Fund for the AU-UN Joint Mediation Support Team (JMST) for Darfur
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,JPO,2025,2025,61986418.889999986,Voluntary,Financial Statement,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2025,2025,202.37000000000012,Voluntary,Financial Statement,Trust Fund for the Memorial Wall for Fallen UN Peacekeepers
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMIK,2025,2025,3.3200000000000003,Voluntary,Financial Statement,"Trust Fund to Support the Implementation of Community-based Assistance Projects of the Roma, Ashkali and Egyptian Communities in Kosovo"
Promotion of international justice and law,III,International justice and law,8,Legal affairs,UNAKRT,2025,2025,2502979.1900000004,Voluntary,Financial Statement,UNAKRT - UN Assistance for the Khmer Rouge Trails
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,698217.7699999999,Voluntary,Financial Statement,Trust Fund in Support of the United Nations Forum on Forests
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2025,2025,19724.75,Voluntary,Financial Statement,Trust Fund to promote information to United Nations staff about the work of the Organization (formerly Secretariat News Trust Fund)
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,21,Economic and social development in Latin America and the Caribbean,ECLAC,2025,2025,-2419.36,Voluntary,Financial Statement,ECLAC - Miscellaneous project accounts
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",RCS,2025,2025,5553581.329999998,Voluntary,Financial Statement,Trust Fund for Locally Mobilized Non-Core Resources for the UN Resident Coordinator Offices
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2025,2025,28827939.359999996,Voluntary,Financial Statement,Trust Fund in Support of the Department of Peacekeeping Operations
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNAMID,2025,2025,-258.23,Voluntary,Financial Statement,Trust Fund to Support Lasting Peace in Darfur
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,20,Economic development in Europe,ECE,2025,2025,2668131.5700000003,Voluntary,Financial Statement,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSCA,2025,2025,69.15,Voluntary,Financial Statement,Trust Fund in Support of the African-led International Support Mission in the Central African Republic (MISCA)
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMAS,2025,2025,50997908.720000006,Voluntary,Financial Statement,Voluntary Trust Fund for Assistance in Mine Action
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSMA,2025,2025,1150.45,Voluntary,Financial Statement,Trust Fund in Support of the African-led International Support Mission in Mali
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,2766082.17,Voluntary,Financial Statement,Trust Fund to Support the work of the High-level Political Forum on Sustainable Development
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2025,2025,249497.09999999998,Voluntary,Financial Statement,Trust Fund for the Follow-up to the World Summit for Social Development
